Município,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
150172 BRASIL NOVO,4.0,,8.0,9.0,4.0,2.0,,,4.0,1.0,,,,,,,2.0,,34.0
150175 BREJO GRANDE DO ARAGUAIA,,1.0,6.0,3.0,2.0,1.0,,,,1.0,,2.0,,,,,,,16.0
150178 BREU BRANCO,29.0,51.0,32.0,24.0,13.0,1.0,,,,4.0,,1.0,1.0,2.0,13.0,9.0,13.0,18.0,211.0
150180 BREVES,2.0,3.0,6.0,16.0,25.0,10.0,31.0,51.0,30.0,56.0,52.0,60.0,29.0,33.0,35.0,65.0,78.0,41.0,623.0
150190 BUJARU,,2.0,5.0,13.0,7.0,9.0,8.0,13.0,10.0,11.0,8.0,5.0,6.0,7.0,8.0,11.0,10.0,9.0,142.0
150195 CACHOEIRA DO PIRIA,8.0,1.0,5.0,5.0,7.0,6.0,3.0,9.0,7.0,8.0,3.0,11.0,5.0,1.0,9.0,23.0,16.0,16.0,143.0
150200 CACHOEIRA DO ARARI,,,2.0,,1.0,,7.0,1.0,1.0,2.0,2.0,4.0,,3.0,3.0,1.0,5.0,1.0,33.0
150210 CAMETA,6.0,7.0,15.0,13.0,24.0,15.0,23.0,12.0,18.0,27.0,27.0,22.0,25.0,11.0,19.0,27.0,33.0,22.0,346.0
150215 CANAA DOS CARAJAS,,2.0,6.0,6.0,2.0,2.0,4.0,4.0,4.0,7.0,8.0,9.0,10.0,12.0,11.0,26.0,59.0,52.0,224.0
150220 CAPANEMA,8.0,14.0,22.0,11.0,11.0,13.0,16.0,23.0,23.0,40.0,37.0,36.0,41.0,33.0,85.0,82.0,59.0,51.0,605.0
150230 CAPITAO POCO,22.0,8.0,20.0,16.0,12.0,12.0,24.0,24.0,25.0,21.0,22.0,25.0,9.0,25.0,37.0,20.0,21.0,22.0,365.0
150240 CASTANHAL,21.0,40.0,51.0,35.0,44.0,63.0,82.0,65.0,52.0,42.0,45.0,68.0,79.0,77.0,88.0,102.0,91.0,86.0,1131.0
150250 CHAVES,,,,,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,1.0,,,8.0
